5 4 2
3
4 50 100 10
30
3 1 200 2 (1,20)(84, 17)
3 2 56  5 (12,7)(34,13)(44,2)(52,5)(56,10)
5 3 120  4 (12,7)(34,13)(44,2)(52,5)
5 4 12  3 (12,7)(52,5)(56,10)
6 5 8  5 (44,2)(52,5)(56,10)(12,7)(34,13)
8 6 19  5 (12,7)(34,13)(56,10)(44,2)(52,5)
9 7 5  4 (12,7)(34,13)(52,5)(56,10)
9 8 11  1 (12,7)
9 9 3  2 (52,5)(56,10)
10 10 2  0 
10 11 6  1 (52,5)
14 12 8  5 (44,2)(52,5)(56,10)(12,7)(34,13)
15 13 4  4 (12,7)(34,13)(44,2)(52,5)
15 14 2  3 (12,7)(34,13)(44,2)
15 15 3  2 (52,5)(56,10)
19 16 1  1 (44,2)
20 17 9  0 
23 18 10  2 (44,2)(52,5)
24 19 13  1 (44,2)
25 20 1  3 (44,2)(56,10)(52,5)
27 21 9  4 (44,2)(52,5)(56,10)(12,7)
30 22 4  2 (56,10)(52,5)
31 23 2  2 (52,5)(56,10)
32 24 3  0 
33 25 8  4 (12,7)(44,2)(52,5)(56,10)
34 26 9  2 (34,13)(56,10) 
35 27 4  1 (56,10) 
36 28 1  2 (52,5)(56,10) 
37 29 2  3 (12,7)(52,5)(56,10) 
38 30 6  4 (34,13)(44,2)(52,5)(56,10)  
